Account Name,City / Address,Contact Name(s),Phone / Email,Channel / Category,Strategy & Follow-Up Plan
The Market 2,"Flatonia, TX (Full address pending)",Cindy Johnson,Research Needed,Off-Premise,"Cindy’s got excellent taste; she loves the products. Tactic: Secure eye-level facings. Pitch a retail tasting (Liquid-to-Lips) to capitalize on the KOVAL Bourbon, highlighting those unique mango chutney and vanilla notes."
Roost Liquors,Research Needed,N/A,Research Needed,Off-Premise,Tactic: Standard introductory call. Drop off a sell sheet and a sample. Get out of the well and fight for shelf positioning.
South TX Spirits,Research Needed,"Christopher Cardenas, Amanda Carter, Siylveria Garcia",361-758-1339 (Christopher),Off-Premise,For Christopher: Connect him with Bryce Irvine (Favorite Brands) immediately to get the wholesale account opened. For Amanda & Siylveria: They want gins. Pitch cross-merchandising our Cranberry Gin Liqueur with sparkling wine for an easy 'Ruby Spritz'.
M & R,"Amarillo, TX (Full address pending)","Charles Leard, Randy Metz, Tina Metz, Whitney Burgtorf, Teron Webb",Research Needed,Off-Premise,They love the gins and the cans. Tactic: Push for a floor display (end-caps) to stack the Bourbon Highball and Cranberry Spritz RTD cans. Velocity Math dictates that massive visibility here will spike our ROS (Rate of Sale).
Wise Old Dog,Research Needed,Dan Pelzar,Research Needed,Off-Premise,Tactic: Dan needs something sophisticated. Pitch the Thresh & Winnow Bottled in Bond Millet Whiskey. The quiet complexity and notes of browned butter and baked apples are perfect for a discerning buyer.
Pinky's,Research Needed,Ron Kirby,Research Needed,Off-Premise (Chain),Tactic: Volume is the name of the game. Pitch a multi-unit rebate program or aggressive cold box placement for our ready-to-drink cans.
H & H,"Abilene, TX (Full address pending)",Brittany Joyce,Research Needed,Off-Premise,They already carry some SKUs. Tactic: Apply the 3-Foot Rule. Bring in high-quality shelf talkers highlighting our Gold Medals (like the ones for our Rye) to increase ROS.
Silverbelly Whiskey Club,Research Needed,"Tyler Boggs, Riley Marshall",Research Needed,On-Premise / Private Club,"Riley is coming to KOVAL for a barrel pick. Tactic: Roll out the red carpet in Chicago. Reiterate that our single barrel Bourbon is Organic, Kosher, and Woman-Owned to elevate his back-bar prestige."
Favorite Brands (Distributor),TX Territory,Bryce Irvine (On-Premise Team),Research Needed,Distributor Management,"Tactic: Give him Christopher Cardenas’s number to open South TX Spirits. Discuss depletion allowances and set up a rep incentive (e.g., a 'Make it a Ruby' placements contest) to gain his share of mind."
Spurs Liquors,Research Needed,N/A,Research Needed,Off-Premise,Tactic: Secure a premium call placement or shelf stack. We need a tasting on the books to drive consumer trial.
Cloud Liquors,MN & TX,N/A,Research Needed,Trade / Software,This is a marketing cloud software. Tactic: Explore how we can integrate our POS marketing digitally to increase visibility with Texas retailers.
Crown Beverage,Research Needed,N/A,Research Needed,Off-Premise,"Tactic: Get past the gatekeeper, secure an eye-level facing, and leave a memorable sample."
US Liquors,West TX,N/A,Research Needed,Off-Premise,They want Thresh & Winnow. Tactic: Liquid-to-Lips. Bring them the 10-Year-Old 100% Rye Whiskey; ensure they know it scored 92 Points and a Gold from the Beverage Testing Institute.
Freedom Libations,"Liberty Hill, TX",Erica and Emily,Research Needed,Off-Premise,"They want all the gins. Tactic: Sample the KOVAL Dry Gin so they can experience the woodland meadow botanicals, and secure a cross-merchandising spot for the Cranberry Gin to drive holiday aperitif sales."
Oak and Vine,Research Needed,Sam Rojani,Research Needed,Off-Premise,Sam is an old friend who liked the 4-grain. Tactic: Pitch another private barrel program. A barrel pick is a guaranteed depletion and a massive margin win for everyone involved.
AB Liquors,Research Needed,Gopal Pathak,Research Needed,Off-Premise,Tactic: Schedule a retail tasting on a high-traffic Friday. You can't sell a premium spirit if the consumer hasn't tasted the magic.
Liquorpedia,Research Needed,Gloria Alonso,Research Needed,Off-Premise,"Tactic: Leverage the 3-Foot Rule. Bring in beautiful bottle neckers that scream our value propositions: 'Women-Owned, Organic, Kosher'."
Coppertop Beverage,Research Needed,N/A,Research Needed,Off-Premise,"Tactic: Drop in, charm the buyer, and leave a glossy sell sheet showcasing our 100+ awards, including the Chicago Mayor's Medal of Honor."
Goody Goody,"Houston, Dallas, Addison, etc.",Jeff Anker (Main Buyer),Research Needed,Off-Premise (Chain),"Jeff wants a gin collaboration. Tactic: Leverage his past success with Lion's Pride. Pitch an exclusive run of a premium organic gin, perhaps leaning into the Shiso botanicals of the Forét Gin profile. Treat him like absolute royalty."
Twin Liquors,"Austin, TX & Surrounding",David Jabour,Research Needed,Off-Premise (Chain),"Big fish, darling. Tactic: Aggressive floor displays across his massive footprint. Show him the 'Make it a Ruby' campaign, which boasts a low $0.89 per ounce pour cost, proving we can offer premium quality over competitor liqueurs loaded with artificial dyes."
